"","Slide","ClickedAOI.Surface","OtherAOI.Surface","ClickedAOI.Meaningful","OtherAOI.Meaningful","ClickedAOI.Invalid","OtherAOI.Invalid"
"1","fruit.bmp",0.209657132501628,0.790342867498372,NA,NA,0.248888634872516,0.751111365127484
"2","intro.bmp",0.216138641706406,0.783861358293594,NA,NA,0.383458585774513,0.616541414225487
"3","0.bmp",0.384091846494246,0.615908153505754,0.209062337380046,0.790937662619954,0.466098383470721,0.53390161652928
"4","1.bmp",0.481990578955438,0.518009421044562,0.26017009297728,0.73982990702272,0.402865304181715,0.597134695818285
"5","2.bmp",0.54545547334198,0.45454452665802,0.419597807255592,0.580402192744408,0.5192849839985,0.4807150160015
"6","3.bmp",0.365581152315235,0.634418847684765,0.473869009711559,0.526130990288441,0.397732709967677,0.602267290032323
"7","4.bmp",0.475479755534495,0.524520244465505,0.394958557298385,0.605041442701615,0.430082256816259,0.569917743183741
"8","5.bmp",0.214137241683414,0.785862758316586,0.339051853955164,0.660948146044836,0.527647636383379,0.472352363616621
"9","6.bmp",0.404441704685666,0.595558295314334,0.438452612398868,0.561547387601132,0.376483313644184,0.623516686355816
"10","7.bmp",0.45081946924229,0.54918053075771,0.423505251421999,0.576494748578001,0.504624257612688,0.495375742387312
"11","8.bmp",0.371169883729846,0.628830116270154,NA,NA,0.317763497341587,0.682236502658413
"12","9.bmp",0.331957604698713,0.668042395301287,0.399825003252653,0.600174996747347,NA,NA
"13","10.bmp",0.381903261874204,0.618096738125796,0.491750309653561,0.508249690346439,0.363408978516993,0.636591021483007
"14","11.bmp",NA,NA,NA,NA,0.274534239408847,0.725465760591153
