P1,P2,P3,P4,P5,P6,P7,P8,P10,P19,P20,P21,P22,P23,P24
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Meaningful,Meaningful,Meaningful,Meaningful,Surface,Invalid,Meaningful,Meaningful,Meaningful,Surface,Surface,Meaningful,Meaningful,Surface,Invalid
Meaningful,Meaningful,Meaningful,Invalid,Surface,Invalid,Invalid,Meaningful,Meaningful,Invalid,Surface,Meaningful,Invalid,Invalid,Meaningful
Meaningful,Meaningful,Meaningful,Meaningful,Invalid,Invalid,Surface,Invalid,Invalid,Surface,Invalid,Invalid,Invalid,Surface,Invalid
Meaningful,Meaningful,Invalid,Invalid,Surface,Surface,Invalid,Meaningful,Meaningful,Surface,Invalid,Surface,Invalid,Surface,Meaningful
Surface,Meaningful,Invalid,Meaningful,Surface,Surface,Meaningful,Meaningful,Meaningful,Surface,Surface,Meaningful,Invalid,Surface,Meaningful
Surface,Meaningful,Meaningful,Meaningful,Invalid,Invalid,Invalid,Meaningful,Surface,Invalid,Meaningful,Invalid,Invalid,Surface,Meaningful
Meaningful,Meaningful,Meaningful,Meaningful,Surface,Surface,Invalid,Meaningful,Meaningful,Invalid,Invalid,Meaningful,Surface,Surface,Meaningful
Invalid,Meaningful,Meaningful,Meaningful,Surface,Surface,Meaningful,Meaningful,Meaningful,Invalid,Invalid,Meaningful,Invalid,Surface,Meaningful
Surface,Invalid,Surface,Invalid,Surface,Surface,Surface,Invalid,Invalid,Surface,Surface,Invalid,Invalid,Surface,Surface
Meaningful,Meaningful,Meaningful,Meaningful,Surface,Surface,Surface,Meaningful,Invalid,Invalid,Meaningful,Invalid,Surface,Surface,Meaningful
Surface,Surface,Invalid,Meaningful,Surface,Surface,Surface,Meaningful,Invalid,Invalid,Invalid,Surface,Invalid,Surface,Invalid
Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid
