,X,P0x,P0y,P1x,P1y,P2x,P2y,P3x,P3y
1,AOI1,0.236035156,0.084375,0.407324219,0.084375,0.407324219,0.304166667,0.236035156,0.304166667
2,AOI2,0.416113281,0.075260417,0.577050781,0.075260417,0.577050781,0.300260417,0.416113281,0.300260417
3,AOI3,0.591699219,0.0765625,0.758691406,0.0765625,0.758691406,0.298958333,0.591699219,0.298958333
4,AOI4,0.239355469,0.313802083,0.410253906,0.313802083,0.410253906,0.525651042,0.239355469,0.525651042
5,AOI5,0.424902344,0.3203125,0.574121094,0.3203125,0.574121094,0.519140625,0.424902344,0.519140625
6,AOI6,0.584863281,0.309895833,0.750878906,0.309895833,0.750878906,0.523046875,0.584863281,0.523046875
7,AOI7,0.249121094,0.537890625,0.408300781,0.537890625,0.408300781,0.751953125,0.249121094,0.751953125
8,AOI8,0.419042969,0.537890625,0.579980469,0.537890625,0.579980469,0.757161458,0.419042969,0.757161458
9,AOI9,0.590722656,0.535286458,0.755761719,0.535286458,0.755761719,0.754557292,0.590722656,0.754557292
10,AOI10,0.45,0.75,0.55,0.75,0.45,0.85,0.55,0.85
